NFCSID,A1,A2,A3,B2_1,B2_2,B2_3,B2_4,B2_5,B2_7,B2_20,B2_21,B2_22,B2_23,B2_24,B2_25,B3,B4.x,B5,B6,B20,B21,B10,B11,B23,B24,B25,B26,C20_1,C20_2,C20_3,C20_4,C20_5,C21,C22_1,C22_2,C22_3,C22_4,C23_1,C23_2,C23_3,C23_4,C24,C25,C26,C7,D1_1,D1_2,D2,D3,D20,D21,D4,E1_1,E20.x,E5,E6,F1_1,F1_2,F1_3,F1_4,F1_5,F1_6,F1_7,F1_8,F1_9,F2_1.x,F2_2.x,F2_5.x,F2_6.x,F2_20,F2_21,F2_22,F3_1,F3_2,F3_3,F3_4,F3_5,F3_6,F3_7,F3_8,F4,F5,F20,G1.x,G2,G20.x,G4,G5,G6,G7,G21,G8,G22,G11,G12,G13,H2,H3,WGT1,S_Gender2,S_Age,S_Ethnicity,S_Education,S_Income,STATEQ,CENSUSDIV,CENSUSREG,A50A,A3Ar_w,A50B,A4A_new_w,A5_2015,A6,A7,A7A,A11,A8_2021,AM21,AM30,AM31,AM22,X3,X4,A9,A40,A10,A10A,A21_2015,A22_2015,A14,A41,J1,J2,J3,J4,J40,J5,J6,J8,J9,J10,J20,J32,J33_1,J33_40,J33_41,J41_1,J41_2,J41_3,J42_1,J42_2,J43,B1,B2,B4.y,B40,B41_1,B41_2,B31.y,B42,B43,B44,C1_2012,C2_2012,C3_2012,C4_2012,C5_2012,C10_2012,C11_2012,B14,C40,C41,D40,EA_1,E7,E8,E20.y,E15_2015,F1,F2_1,F2_2,F2_3,F2_4,F2_5,F2_6,F10,G1.y,G20,G30_1.y,G30_2.y,G30_3.y,G30_4.y,G30_5.y,G30_97,G30_98,G30_99,G33,G35,G22_2015,G40,G25_1,G25_2,G25_3,G25_4,G25_5,G38,G23.y,H1,H30_1,H30_2,H30_3,M1_1,M1_2,M4,M40,M20,M21_1,M21_2_2015,M21_3,M21_4,M41,M42,M6,M7,M8,M31,M9,M10,wgt_n2,wgt_d2,wgt_s3,Year,B30,B31.x,B32,B33,B34,B35,C30,D30,D31,F30_1,F30_2,F30_3,F30_4,F30_5,F30_6,F30_7,F30_8,F30_9,F30_10,F30_11,F30_12,F31_1,F31_2,F31_3,F31_4,F31_5,F31_6,F31_7,F31_8,F31_9,F31_10,F31_11,G30_1.x,G30_2.x,G30_3.x,G30_4.x,G30_5.x,G30_6,G31,G23.x,H31,J50,J51_1,J51_2,J51_3,J51_4,J51_5,J51_6,J51_98,J51_99,J52,J53,P50,P51,P52,M50,State_Name,StringencyIndex_Average,GovernmentResponseIndex_Average,ContainmentHealthIndex_Average,EconomicSupportIndex
2018010042,2,1,1,98,98,1,1,98,2,2,1,2,2,2,98,98,9,2,NA,NA,2,3,98,2,NA,NA,NA,3,1,1,1,1,2,1,3,1,1,2,2,2,1,99,NA,1,2,9,7,3,3,3,3,1,98,1,3,2,2,1,1,98,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,NA,2,NA,6,5,7,1,98,1,1,98,1,98,2,3,4,1,2,0.910655279,2,3,1,1,2,44,7,3,2,6,12,1,2,1,2,1,5,6,3,NA,NA,2,1,NA,4,2,8,3,2,NA,3,1,10,7,1,3,1,1,NA,NA,1,2,1,5,1,4,1,1,1,1,5,1,4,1,1,2,7,3,1,3,3,3,3,1,2,98,2,NA,NA,NA,1,5,1,2,1,2,2,NA,NA,3,1,2,2,2,2,2,98,1,2,0,0,0,0,0,1,0,0,NA,NA,NA,NA,1,1,1,1,1,2,1,1,2,2,2,1,6,7,2,3,NA,NA,NA,NA,NA,NA,1,3,98,3,98,2,1.50688733,2.93764533,1.09698389,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Texas,NA,NA,NA,NA
2018010047,1,1,1,1,1,1,1,1,2,1,2,2,1,2,2,2,5,1,1,1,1,1,1,1,5,1,1,3,3,2,3,2,1,3,3,2,3,1,1,2,1,3,9,1,1,10,9,2,3,2,1,5,8,1,1,1,1,2,2,1,1,2,1,1,2,1,1,2,2,2,1,1,1,1,1,1,2,1,2,2,2,1,NA,8,5,6,3,3,3,1,1,1,1,2,2,2,1,1,1.566607663,1,1,2,2,2,38,9,4,1,2,2,2,6,2,1,3,6,5,3,NA,NA,NA,1,NA,2,2,NA,1,NA,NA,NA,5,8,6,2,3,1,1,NA,1,NA,2,1,4,6,7,6,5,5,5,4,5,4,1,1,1,7,2,3,2,2,2,2,1,NA,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,2,1,1,2,2,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,3,2,2,3,3,1,6,1,1,2,1,6,7,6,1,1,NA,NA,NA,NA,NA,NA,1,2,2,2,1,1,0.81981301,0.22303582,1.01151737,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oregon,NA,NA,NA,NA
2018010050,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,10,2,NA,NA,2,4,2,1,4,2,2,3,2,2,1,1,1,2,1,1,1,98,98,98,98,98,NA,2,2,7,3,98,2,3,98,4,98,98,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,NA,2,NA,6,4,4,1,2,3,98,2,1,98,3,98,98,1,2,0.609443224,2,3,1,2,2,14,3,2,2,5,11,1,6,1,2,1,6,5,3,NA,NA,3,1,NA,2,2,8,1,NA,NA,1,5,9,3,1,3,2,1,NA,1,NA,2,1,5,5,3,1,2,1,3,5,1,4,1,1,2,6,3,1,3,3,3,3,1,3,1,1,1,2,2,1,5,2,2,1,2,2,NA,NA,3,1,2,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0,NA,NA,NA,2,1,1,1,1,1,2,1,1,2,2,2,7,7,5,2,3,NA,NA,NA,NA,NA,NA,98,3,2,3,1,2,1.21625656,1.28100016,0.83772173,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Illinois,NA,NA,NA,NA
2018010051,1,1,1,2,2,1,2,1,2,1,2,2,2,2,2,1,8,99,NA,NA,2,4,2,1,5,2,2,3,2,2,2,1,1,1,1,1,1,2,2,2,1,4,5,2,2,3,1,2,2,3,98,2,3,2,3,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,NA,2,NA,4,2,3,2,2,2,1,2,98,98,1,1,4,1,2,0.609443224,1,3,1,2,2,14,3,2,1,6,6,1,6,1,2,1,6,5,3,NA,NA,3,1,NA,8,1,4,2,NA,NA,1,5,5,3,1,3,1,1,NA,NA,1,2,1,5,3,5,4,1,1,1,5,1,3,1,1,2,6,2,1,3,3,3,3,1,1,1,1,2,2,2,1,6,1,2,1,2,2,NA,NA,3,1,2,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0,NA,NA,NA,2,1,1,1,1,1,2,1,1,2,2,2,6,6,5,2,3,NA,NA,NA,NA,NA,NA,1,3,98,2,1,2,1.25936912,1.29144286,0.8666084,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Illinois,NA,NA,NA,NA
2018010053,1,1,1,1,1,1,1,2,1,1,2,1,2,2,1,3,8,2,NA,NA,1,2,2,1,4,2,2,2,2,3,3,2,2,2,2,2,2,2,2,1,1,3,9,1,1,9,9,3,3,1,1,6,9,1,3,3,2,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,NA,NA,10,7,7,1,2,2,1,1,1,2,3,3,4,1,1,0.609443224,1,3,1,2,3,48,9,4,1,5,5,1,6,1,2,1,1,8,3,NA,NA,3,1,NA,2,1,2,1,NA,NA,1,5,10,8,3,3,3,1,1,1,NA,2,1,5,1,1,1,1,1,1,4,2,4,1,1,2,3,3,2,3,3,3,3,1,3,1,1,1,2,2,1,6,1,2,1,1,2,2,1,1,1,2,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0,NA,NA,NA,2,1,1,1,1,1,2,1,1,2,2,2,7,7,7,2,3,NA,NA,NA,NA,NA,NA,1,3,2,2,1,2,0.56218205,0.34341193,0.88915849,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Washington,NA,NA,NA,NA
2018010054,2,1,1,1,2,1,2,1,2,1,2,2,2,2,2,1,98,98,NA,NA,98,3,2,1,98,2,2,2,2,1,1,1,1,1,1,1,1,2,98,98,1,98,NA,2,2,8,6,98,3,3,3,3,6,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,98,2,2,2,NA,2,NA,6,3,5,1,2,2,98,1,98,3,3,98,98,1,2,0.609443224,2,3,1,2,3,47,5,3,2,6,12,1,6,1,2,1,5,7,3,NA,NA,2,1,NA,8,2,1,2,NA,NA,2,98,8,5,1,3,1,1,NA,NA,2,2,1,5,2,3,5,1,1,1,3,3,98,1,1,2,7,3,2,3,2,3,3,2,NA,NA,1,2,2,2,1,6,1,2,1,2,1,2,NA,2,1,2,2,2,2,1,2,2,2,0,0,0,0,0,1,0,0,NA,NA,NA,2,1,1,1,1,1,2,4,1,1,2,2,7,6,98,2,3,NA,NA,NA,NA,NA,NA,1,3,2,3,1,2,0.94693104,1.09739202,0.98255552,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Virginia,NA,NA,NA,NA
2018010066,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,1,6,99,NA,NA,99,3,1,2,NA,NA,NA,1,1,1,1,1,NA,1,1,1,1,2,2,1,1,99,NA,99,99,4,3,2,2,3,3,3,5,2,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,NA,2,NA,6,4,4,1,2,2,1,2,99,98,3,98,98,1,1,0.609443224,2,3,1,2,2,24,4,2,2,6,12,1,7,1,2,1,5,5,3,NA,NA,2,1,NA,8,2,3,2,NA,NA,3,6,8,5,1,3,1,1,NA,NA,2,1,1,5,2,2,2,2,2,2,5,1,4,1,1,2,6,3,2,1,2,3,3,1,3,1,1,1,2,2,1,6,1,2,1,2,2,NA,NA,3,1,2,2,2,2,2,2,1,2,0,0,0,0,0,1,0,0,NA,NA,NA,2,1,1,1,1,1,2,1,1,2,2,2,7,4,6,2,98,NA,NA,NA,NA,NA,NA,1,2,1,2,1,2,0.41474918,1.62977569,0.99496348,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Minnesota,NA,NA,NA,NA
2018010078,1,1,1,2,2,1,2,2,2,1,2,2,2,2,2,1,4,99,NA,NA,2,3,2,98,NA,NA,NA,3,3,1,1,1,2,1,1,1,1,2,2,1,2,4,7,2,2,98,98,98,2,3,3,2,98,1,3,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,NA,1,NA,7,4,5,2,2,2,1,2,98,98,1,1,3,1,1,0.910655279,2,3,1,1,1,14,3,2,2,6,12,1,2,5,1,3,5,4,2,4,2,NA,1,NA,3,2,NA,1,2,NA,NA,2,9,5,1,3,2,1,NA,99,NA,2,1,5,5,3,4,2,1,2,5,3,4,1,1,2,7,3,2,3,3,3,3,2,NA,NA,1,2,2,2,1,6,1,2,2,NA,NA,NA,NA,2,1,2,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0,NA,NA,NA,NA,1,1,1,1,1,2,2,1,2,2,2,7,6,5,2,2,1,NA,2,1,98,5,1,3,98,2,1,2,1.53154897,1.41639687,1.12522199,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Illinois,NA,NA,NA,NA
2018010082,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,1,7,98,NA,NA,2,3,2,1,3,2,2,1,1,3,1,1,NA,1,1,2,1,2,1,1,1,4,7,2,2,8,6,3,2,3,98,2,7,2,3,3,2,2,1,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,1,2,2,NA,1,NA,8,5,5,1,98,98,2,2,1,1,1,98,3,1,1,0.609443224,2,3,1,2,2,34,5,3,2,5,11,1,7,1,2,1,6,6,3,NA,NA,2,1,NA,8,2,8,2,NA,NA,1,6,8,5,3,3,1,1,NA,NA,1,2,1,5,1,1,1,4,1,1,4,1,3,1,1,1,7,3,3,2,2,3,3,1,3,1,1,2,2,2,1,5,2,2,1,2,2,NA,NA,2,1,2,2,2,2,2,1,2,2,0,0,0,0,0,1,0,0,NA,NA,NA,2,1,1,1,1,1,2,1,1,2,2,2,7,7,6,2,3,NA,NA,NA,NA,NA,NA,1,3,2,3,1,2,0.94693104,1.34634288,1.12100229,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,North Carolina,NA,NA,NA,NA
2018010094,2,1,1,2,2,1,2,1,2,1,2,2,2,2,1,1,9,2,NA,NA,2,2,1,1,4,2,2,2,2,2,1,1,1,2,1,1,1,2,2,1,1,4,8,2,2,9,7,2,2,3,3,3,7,1,1,3,1,2,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,2,2,2,NA,2,NA,8,5,6,1,2,2,1,2,1,1,3,2,99,1,1,0.609443224,1,3,1,2,3,48,9,4,1,6,6,1,7,1,2,1,5,8,2,4,1,3,1,NA,8,2,8,2,NA,NA,3,5,9,7,3,3,2,1,NA,NA,1,2,1,5,1,1,1,1,1,1,3,1,4,1,1,2,7,3,1,3,3,3,3,1,2,2,1,2,2,2,1,6,1,2,2,NA,NA,NA,NA,2,1,2,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0,NA,NA,NA,2,1,1,1,1,1,2,1,1,2,2,2,7,7,6,1,2,2,1,2,1,3,6,1,3,2,3,1,2,0.56218205,0.34341193,0.88915849,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Washington,NA,NA,NA,NA
